SW10:1
SW36:1
SW22:1
SW38:1
SW5:1
SW21:1
SW6:1
SW12:1
SW37:1
SW29:1
SW3:1
SW30:1
SW20:1
SW8:1
SW34:1
REF**:9
SW32:1
SW48:1
SW18:1
SW40:1
SW33:1
SW4:1
SW28:1
SW7:1
SW2:1
SW1:1
SW25:1
SW47:1
SW13:1
SW46:1
SW27:1
SW44:1
SW9:1
SW16:1
SW15:1
SW39:1
SW14:1
SW31:1
SW24:1
SW17:1
SW43:1
SW11:1
SW35:1
SW19:1
SW23:1
SW41:1
SW42:1
SW45:1
SW26:1
